state,district,maturity_pct,biometric_backlog_vol,migration_pct,total_workload
Maharashtra,Pune,4937.8583912087915,-253821.0,1510.1072996336998,950823.0
Maharashtra,Thane,5708.66497215131,-169453.0,1783.9899199350198,929202.0
Maharashtra,Nashik,7211.212497571805,-192417.0,1504.7931719161927,773670.0
West Bengal,South 24 Parganas,4399.902427557315,-81965.0,2035.01618410334,623065.0
Gujarat,Ahmedabad,6075.712189372232,-150660.0,1625.2247929148216,615954.0
Gujarat,Surat,4698.591141754787,-118239.0,1909.5951486138897,558869.0
Delhi,North West Delhi,22096.221532438478,-118820.0,7677.198545861297,552659.0
Karnataka,Bengaluru,3336.4195091292777,-122287.0,1209.6468446646481,546106.0
Maharashtra,Solapur,5748.583537608631,-142309.0,1897.3978408750374,540488.0
Maharashtra,Ahmadnagar,4717.9416631355925,-150727.0,1381.3749034839925,539677.0
Maharashtra,Jalgaon,6471.137804205447,-135353.0,1134.2807066528783,535900.0
Maharashtra,Nanded,8230.357253041364,-114042.0,2377.333126520681,524684.0
West Bengal,Murshidabad,3758.8722106877435,-58132.0,1690.4985100861152,513271.0
Maharashtra,Mumbai,4187.715098774969,-106320.0,700.2075256594195,510822.0
West Bengal,North 24 Parganas,2375.8539402413894,-75033.0,959.4197335884604,488576.0
Maharashtra,Yavatmal,10705.212322335026,-85056.0,3113.9760406091373,480319.0
Andhra Pradesh,Kurnool,4982.799251174007,-227249.0,1064.188381774337,479081.0
Maharashtra,Aurangabad,6849.418724832215,-95434.0,1587.0832388764604,438621.0
Uttar Pradesh,Bareilly,9522.851730769231,-146158.0,3621.692872841444,435457.0
Andhra Pradesh,Visakhapatnam,4386.010367258762,-183254.0,991.425974555929,425327.0
Bihar,East Champaran,6603.666529596647,-83915.0,2512.4138056574125,424682.0
Bihar,Patna,4144.643265786994,-84997.0,1554.8897455230913,418694.0
Andhra Pradesh,Guntur,3617.03180495356,-174331.0,913.6739659442725,417595.0
Uttar Pradesh,Sitapur,9490.812177901875,-180267.0,2781.8632030315116,416345.0
Telangana,Rangareddy,3379.5805901262916,-106539.0,983.4247072330653,413163.0
Maharashtra,Amravati,7807.472795216741,-96126.0,1144.6830219232686,411189.0
Andhra Pradesh,East Godavari,2792.5013678504083,-191332.0,631.753975487115,408976.0
Uttar Pradesh,Allahabad,6640.560188457008,-167697.0,1756.2786902237926,405774.0
Telangana,Hyderabad,4206.630684748033,-108394.0,1402.8262598359283,402648.0
Uttar Pradesh,Agra,7673.39183020181,-132848.0,2490.8271920668058,400722.0
Andhra Pradesh,Ananthapuramu,3837.625056179775,-177607.0,790.9276995250782,398456.0
Uttar Pradesh,Bijnor,9275.961835994194,-127710.0,3315.5893214804064,394844.0
Bihar,Madhubani,5978.332790643275,-95693.0,1732.9749239766081,394399.0
Maharashtra,Beed,9149.683842003853,-103735.0,2605.6256223506743,392780.0
Uttar Pradesh,Lucknow,4698.038278639017,-108037.0,1679.3371169720153,392597.0
Bihar,Muzaffarpur,4514.103837118246,-77347.0,1612.3199569303054,387979.0
Uttar Pradesh,Ghaziabad,7456.061586570112,-89824.0,3151.5603127057275,381865.0
Delhi,South Delhi,13743.980745679013,-84952.0,5010.109204938272,381042.0
Maharashtra,Kolhapur,4011.6459897916957,-110052.0,905.2848448061801,372586.0
Bihar,West Champaran,9832.99180379747,-62764.0,3931.6375052742615,372447.0
Andhra Pradesh,Chittoor,3537.140001143903,-157416.0,926.167311827957,371307.0
Bihar,Samastipur,6255.074169797145,-80604.0,1996.67051590283,368429.0
Madhya Pradesh,Indore,7520.178456307379,-89855.0,2286.3057837470246,364755.0
Uttar Pradesh,Aligarh,5352.0197633304815,-127441.0,1915.7036726546908,361227.0
Tamil Nadu,Tiruvallur,3711.643271554091,-112514.0,975.7259692476661,352695.0
Kerala,Malappuram,2915.3212780562217,-85160.0,825.9476759642623,351935.0
Bihar,Gaya,6154.725942240374,-77863.0,2052.961093932322,351921.0
Tamil Nadu,Chennai,3494.085701640198,-101323.0,958.2452304087477,351502.0
Delhi,West Delhi,14986.625858208956,-55687.0,6172.348768656716,346687.0
Maharashtra,Latur,10341.642020159596,-67419.0,2369.976547669047,346618.0
Rajasthan,Alwar,4597.531863775734,-106705.0,1304.0369842312746,346308.0
Bihar,Sitamarhi,6332.9975996778085,-62939.0,2400.8179540877973,346100.0
Tamil Nadu,Kancheepuram,2859.404134792502,-107777.0,722.41369379131,345993.0
Uttar Pradesh,Kheri,7071.657591564927,-125410.0,2793.158993710692,344668.0
Rajasthan,Jodhpur,5249.056625183016,-99012.0,1675.7371864324061,344519.0
Uttar Pradesh,Hardoi,8602.44208923209,-134700.0,2675.9871728871726,340415.0
Uttar Pradesh,Kanpur Nagar,4010.4534331744953,-79310.0,1494.8305513955072,334102.0
Uttar Pradesh,Saharanpur,8338.928517321016,-98393.0,2875.494752886836,331403.0
Maharashtra,Mumbai Suburban,3965.802426216941,-84711.0,1601.0902606362592,327198.0
Tamil Nadu,Salem,3139.0836722215563,-107042.0,608.9953566718618,325146.0
West Bengal,Barddhaman,1672.0368414841041,-64570.0,548.9296791325514,321393.0
Uttar Pradesh,Bulandshahr,5149.715324738506,-122141.0,1805.4268669423498,319091.0
West Bengal,Paschim Medinipur,2398.896412489116,-54152.0,946.9084152257743,318627.0
Uttar Pradesh,Bahraich,5850.978089005235,-113161.0,2352.369694589878,318443.0
Uttar Pradesh,Varanasi,4966.6886487228785,-90698.0,1795.2531529799508,318150.0
Uttar Pradesh,Jaunpur,4192.636199345067,-101500.0,1387.420292672943,316727.0
Uttar Pradesh,Azamgarh,4102.153824932587,-86441.0,1436.2915204314456,316020.0
Uttar Pradesh,Gorakhpur,4788.352657446283,-72367.0,1656.4717337614225,315797.0
Tamil Nadu,Coimbatore,2660.065290196883,-66954.0,623.690144585726,314531.0
Andhra Pradesh,Krishna,2736.933971580454,-137233.0,578.64458801881,314385.0
Uttar Pradesh,Meerut,7027.165625270445,-93176.0,2586.117944612722,313455.0
West Bengal,Uttar Dinajpur,6599.118527918781,-14336.0,3901.8190736040606,311402.0
Maharashtra,Buldhana,6827.159288771815,-76972.0,1792.765465920316,311093.0
West Bengal,Hooghly,2409.8564259607933,-58392.0,907.680441909403,309340.0
Andhra Pradesh,West Godavari,2643.937765606824,-129632.0,664.6351308646762,309218.0
Uttar Pradesh,Moradabad,6697.274629532317,-84560.0,2483.899269574356,308367.0
Chhattisgarh,Bilaspur,9522.605669527897,-57017.0,3192.474832618026,307542.0
Andhra Pradesh,Prakasam,2826.224468272297,-127508.0,669.4926228967338,302249.0
Maharashtra,Chandrapur,7309.562844631852,-59802.0,1851.8760979565357,300179.0
Bihar,Vaishali,5410.481164515243,-62797.0,1629.0602252128538,298548.0
Tamil Nadu,Madurai,4176.2655349264705,-88813.0,864.0694227941177,297611.0
Punjab,Ludhiana,2661.131681401958,-68152.0,726.4561967161351,296487.0
Rajasthan,Nagaur,4401.243737508328,-91915.0,1150.9578636464578,295976.0
Bihar,Saran,3596.226671259842,-54047.0,1283.0006082677164,292898.0
Maharashtra,Sangli,3620.0254269926327,-86709.0,767.953549899531,292416.0
Uttar Pradesh,Shahjahanpur,7572.453736591179,-99283.0,2584.279642431466,287799.0
Rajasthan,Udaipur,4984.835517758879,-85423.0,1700.9337568784392,287504.0
Andhra Pradesh,Srikakulam,4151.84520418164,-118293.0,1107.8546553413917,287245.0
Gujarat,Vadodara,3072.0086550382007,-62343.0,697.9343909470953,287230.0
West Bengal,Nadia,2472.7353881278536,-37735.0,1113.283509063235,286509.0
Rajasthan,Barmer,7315.508926701571,-103068.0,2099.0749925205687,286083.0
Maharashtra,Satara,3172.5093935556497,-96436.0,756.4759912762066,285435.0
Uttar Pradesh,Muzaffarnagar,7466.157051597052,-105307.0,2339.705049140049,284632.0
Chhattisgarh,Raipur,6774.021012461059,-50734.0,1991.2323052959503,282827.0
Gujarat,Rajkot,3539.027590879759,-66326.0,1048.3020972252098,282321.0
Tamil Nadu,Tirunelveli,2083.1348708658493,-85357.0,354.65194444444444,279669.0
Maharashtra,Parbhani,9805.668276431717,-71922.0,2444.09984030837,278205.0
Uttar Pradesh,Kushinagar,9597.993200628602,-74796.0,3647.1372289156625,276428.0
Telangana,Mahabubnagar,3082.081122881356,-93628.0,562.3684624697336,271093.0
Odisha,Ganjam,3001.814793905591,-86983.0,692.0369691198476,267846.0
Uttar Pradesh,Barabanki,4948.33116135938,-105669.0,1460.6996200160559,266362.0
Madhya Pradesh,Rewa,6959.636780965711,-108894.0,1256.3948285514346,265783.0
Madhya Pradesh,Sagar,7440.217390606182,-99842.0,1385.17942593336,264681.0
Tamil Nadu,Vellore,2121.0002170418006,-86984.0,461.28741459003214,264435.0
Delhi,South West Delhi,7151.106262465097,-58694.0,2782.613191065018,263701.0
Madhya Pradesh,Bhopal,5735.029337016575,-76926.0,1302.872869678258,262443.0
Jharkhand,Ranchi,5468.477738095238,-51800.0,1393.2772117794486,262236.0
Uttar Pradesh,Unnao,5296.00912550311,-81344.0,1938.4872740578119,261055.0
Uttar Pradesh,Gonda,5033.495892531876,-90116.0,1692.0923709775348,259248.0
Chhattisgarh,Janjgir-Champa,10583.648840274118,-45217.0,3038.3093990511334,258186.0
Chhattisgarh,Rajnandgaon,16507.467460691823,-46799.0,6582.493199685534,257663.0
Maharashtra,Palghar,4621.738648957441,-81569.0,1399.104047415024,257042.0
Maharashtra,Jalna,7310.509240558293,-65472.0,1461.929027093596,255689.0
Maharashtra,Dhule,5528.484012251149,-63737.0,881.5493491577334,253769.0
Tamil Nadu,Tiruchirappalli,2417.5936894365354,-60264.0,414.03467639669816,253324.0
Uttar Pradesh,Rampur,10536.204114114114,-69254.0,4160.929039039039,251418.0
Delhi,East Delhi,15322.964239373601,-44927.0,6337.857147651007,250556.0
West Bengal,Malda,4221.046471404776,-25976.0,2123.9071154913936,250556.0
Uttar Pradesh,Ghazipur,4257.613663366336,-85550.0,1293.8039876237624,249752.0
Bihar,Nalanda,4846.380563145618,-46301.0,1686.1757680773078,248337.0
West Bengal,Haora,2939.7147110040755,-37843.0,1026.4006317154501,248283.0
Madhya Pradesh,Satna,6802.199594214544,-83663.0,1410.2359622338288,247539.0
Uttar Pradesh,Budaun,5763.202190516156,-67927.0,2766.123235417541,245130.0
Karnataka,Bangalore,2189.888769214682,-45603.0,304.11116699780405,244029.0
Delhi,North East Delhi,32128.15318965517,-67486.0,10197.511163793102,242884.0
Haryana,Faridabad,7349.314466349422,-44935.0,3202.0690686607745,242826.0
Rajasthan,Ajmer,3318.2272040201005,-67529.0,1231.1374130653267,242476.0
Jharkhand,Dhanbad,3907.7883433994825,-45020.0,1255.2685547886108,241074.0
Maharashtra,Osmanabad,7295.969189298743,-58545.0,2128.814398054317,239470.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,2394.389404958678,-95914.0,570.4358258105531,239135.0
Rajasthan,Bharatpur,4933.565840537944,-66847.0,1744.4713256484151,238820.0
Maharashtra,Nandurbar,7202.167308478039,-58568.0,743.3971246169561,238193.0
Madhya Pradesh,Morena,9964.602455696202,-78982.0,2966.102759493671,238090.0
West Bengal,Birbhum,3231.0795513847565,-33651.0,1344.1990409704738,237330.0
Uttar Pradesh,Pilibhit,12801.249856828194,-84332.0,4756.892411894272,236993.0
Uttarakhand,Udham Singh Nagar,11306.24110313316,-81104.0,4100.629869451697,236515.0
Madhya Pradesh,Jabalpur,6722.977259535655,-69455.0,1753.7014510779438,235673.0
Tamil Nadu,Cuddalore,2858.022567252371,-80476.0,628.0474669569273,235527.0
Chhattisgarh,Durg,6883.461266639774,-69436.0,1394.2849011698265,235020.0
Punjab,Amritsar,4292.342271444695,-48712.0,1044.823250564334,233645.0
Uttar Pradesh,Deoria,5572.390573800072,-72798.0,1690.319220498015,232948.0
Tamil Nadu,Dindigul,3635.362895841282,-59112.0,523.7928138115224,232750.0
Andhra Pradesh,Cuddapah,2729.8541800507182,-106341.0,584.1448844744999,232610.0
Maharashtra,Akola,6212.752325834543,-48471.0,1089.060899854862,232522.0
Chhattisgarh,Raigarh,10363.14986031746,-33340.0,2556.0887365079366,232337.0
West Bengal,Jalpaiguri,2342.1842965419232,-26012.0,1288.770189483657,232076.0
Madhya Pradesh,Chhatarpur,7402.676781029264,-76745.0,1619.0307517658932,231777.0
Tamil Nadu,Thanjavur,2066.6162697304844,-63471.0,413.83352732739183,230132.0
Bihar,Siwan,3534.730895838232,-45955.0,1158.8853585704207,230051.0
Rajasthan,Sikar,3120.9999849141996,-65094.0,693.1827418442391,228771.0
West Bengal,Bankura,2363.03923921822,-43260.0,934.9207995477306,228633.0
Chhattisgarh,Baloda Bazar,9214.99281267067,-47087.0,3091.5444074276347,227648.0
Uttar Pradesh,Firozabad,5689.381140618198,-73049.0,2237.3326164562473,226467.0
Madhya Pradesh,Dhar,8281.925504939627,-68705.0,2093.303704720088,225842.0
Madhya Pradesh,Shivpuri,8530.730256124722,-83012.0,1519.434315144766,225835.0
Kerala,Kozhikode,2279.2427444168734,-55441.0,590.9899975186104,224968.0
Maharashtra,Raigarh,3028.1777140783747,-68517.0,739.962723149492,222977.0
Gujarat,Banaskantha,5247.262594429607,-63008.0,1106.780068676078,222888.0
Uttar Pradesh,Pratapgarh,4055.602621105001,-71636.0,1297.467258444619,222548.0
Madhya Pradesh,Barwani,9232.382890365448,-64572.0,2395.3430675526024,222435.0
Uttar Pradesh,Ballia,3987.855653775322,-72176.0,1193.426340436727,221775.0
Odisha,Mayurbhanj,2798.9880095238095,-69800.0,590.235046031746,220079.0
Uttar Pradesh,Rae Bareli,3611.9728969754256,-75732.0,1161.8200732514176,218423.0
West Bengal,Purba Medinipur,1804.7722095885595,-47659.0,522.751216738952,216804.0
Andhra Pradesh,Vizianagaram,3220.4933982720654,-94545.0,713.4212993393189,216234.0
West Bengal,Puruliya,3339.4207830037412,-26144.0,1410.997434526991,215092.0
Tamil Nadu,Tiruppur,2843.382076961855,-63431.0,682.5086859351369,215063.0
Madhya Pradesh,Ujjain,6898.74537540304,-72284.0,1514.5080515891295,214632.0
Uttar Pradesh,Gautam Buddha Nagar,4132.358534661686,-39312.0,1949.5381486093816,214262.0
Bihar,Bhojpur,3431.8871684768883,-35477.0,1370.1544581965143,213395.0
Rajasthan,Pali,3832.3201324343845,-63352.0,902.0194726703588,212921.0
Madhya Pradesh,Khargone,6537.381323448655,-70635.0,877.9432015376167,212522.0
Uttar Pradesh,Fatehpur,5248.035217219589,-63420.0,1939.4865837282782,212093.0
Jharkhand,Giridih,7874.625435244162,-45141.0,3160.943492569002,211760.0
Uttar Pradesh,Mathura,5257.553405584129,-72530.0,1809.8024504041146,210066.0
Bihar,Rohtas,4724.365826513911,-46217.0,1597.8727954173485,206309.0
Madhya Pradesh,Chhindwara,6560.855379926859,-53801.0,1539.5359325477448,205906.0
Madhya Pradesh,Tikamgarh,9954.479527229203,-83158.0,1352.6513046080192,204733.0
Uttar Pradesh,Maharajganj,6676.237896009674,-51576.0,2886.8523700120923,204511.0
Kerala,Ernakulam,1576.9864668036817,-56089.0,345.44236886784023,204339.0
Kerala,Thiruvananthapuram,1627.351817338036,-50179.0,348.0574438462966,203997.0
Madhya Pradesh,Gwalior,5416.3459129511675,-56430.0,1496.8694214437369,203095.0
Madhya Pradesh,Rajgarh,11849.17897915169,-75682.0,1392.9333644859814,202866.0
Kerala,Palakkad,1529.303329257642,-55169.0,243.4059458515284,202580.0
Jharkhand,Palamu,8875.351577992744,-49753.0,3178.620054413543,202550.0
Bihar,Bhagalpur,4654.2925408279525,-47199.0,1478.8129510064566,202360.0
Rajasthan,Bikaner,4521.287630350195,-53714.0,1234.5516147859921,202353.0
Rajasthan,Bhilwara,4322.0732391235315,-54763.0,1682.9408891711655,202269.0
Tamil Nadu,Erode,2819.5732238700566,-57458.0,609.6621204096045,201774.0
Maharashtra,Hingoli,8584.02897716895,-38581.0,3137.43703196347,200692.0
